state,title,name,political_party,period
Estado de Nicaragua,Supremo Director del Estado,Patricio Rivas,Liberal,1840-1841
Estado de Nicaragua,Supremo Director del Estado,Pablo Buitrago y Benavente,Conservador,1841-1843
Estado de Nicaragua,Supremo Director del Estado,Juan de Dios Orozco,Conservador,1843-1843
Estado de Nicaragua,Supremo Director del Estado,Manuel Pérez,Liberal,1843-1844
Estado de Nicaragua,Supremo Director del Estado,Emiliano Madriz,Liberal,1844-1845
Estado de Nicaragua,Supremo Director del Estado,Silvestre Selva,Conservador,1844-1845
Estado de Nicaragua,Supremo Director del Estado,Manuel Blas Antonio Sáenz,Conservador,1845-1845
Estado de Nicaragua,Supremo Director del Estado,José León Sandoval,Conservador Republicano,1845-1847
Estado de Nicaragua,Supremo Director del Estado,Miguel Ramón Morales,Conservador Republicano,1847-1847
Estado de Nicaragua,Supremo Director del Estado,José María Guerrero de Arcos y Molina,Conservador Republicano,1847-1849
Estado de Nicaragua,Supremo Director del Estado,Bernardo Toribio Terán Prado,Conservador,1849-1849
Estado de Nicaragua,Supremo Director del Estado,José Benito Rosales y Sandoval,Conservador,1849-1849
Estado de Nicaragua,Supremo Director del Estado,Norberto Ramírez Áreas,Conservador,1849-1851
Estado de Nicaragua,Supremo Director del Estado,Justo Abaunza y Muñoz de Avilés,Conservador,1851-1851
Estado de Nicaragua,Supremo Director del Estado,José Laureano Pineda Ugarte,Liberal,1851-1851
Estado de Nicaragua,Supremo Director del Estado,Justo Abaunza y Muñoz de Avilés,Conservador,1851-1851
Estado de Nicaragua,Supremo Director del Estado,José Laureano Pineda Ugarte,Liberal,1851-1851
Estado de Nicaragua,Supremo Director del Estado,José Francisco del Montenegro,Liberal,1851-1851
Estado de Nicaragua,Supremo Director del Estado,José de Jesús Alfaro,Liberal,1851-1851
Estado de Nicaragua,Supremo Director del Estado,Fulgencio de la Vega y Santos,Conservador,1851-1852
Estado de Nicaragua,Supremo Director del Estado,José Laureano Pineda Ugarte,Liberal,1851-1853
Estado de Nicaragua,Supremo Director del Estado,José Fruto Chamorro Pérez,Conservador,1853-1854
Estado de Nicaragua,Supremo Director del Estado,Francisco Castellón Sanabria,Liberal,1854-1855
Estado de Nicaragua,Supremo Director del Estado,Nazario Escoto,Liberal,1855-1855
República de Nicaragua,Presidente de la República,José Fruto Chamorro Pérez,Legitimista,1854-1855
República de Nicaragua,Presidente de la República,José María Estrada,Legitimista,1854-1855
República de Nicaragua,Presidente de la República,Ponciano Corral,Legitimista,1855-1855
República de Nicaragua,Presidente de la República,Patricio Rivas,Democrático,1855-1857
República de Nicaragua,Presidente de la República,Fermín Ferrer,Legitimista,1856-1856
República de Nicaragua,Presidente de la República,William Walker,Filibustero,1856-1857
República de Nicaragua,Presidente de la República,José María Estrada,Legitimista,1856-1856
República de Nicaragua,Presidente de la República,Junta de Gobierno,Junta de gobierno (Primer gobierno binario),1857-1857
República de Nicaragua,Presidente de la República,Junta de Gobierno,Junta de gobierno (Segundo gobierno binario),1857-1857
República de Nicaragua,Presidente de la República,Tomás Martínez Guerrero,Conservador,1857-1867
República de Nicaragua,Presidente de la República,Fernando Chamorro y Alfaro,Conservador,1860-1860
República de Nicaragua,Presidente de la República,Fernando Guzmán Solórzano,Conservador,1867-1871
República de Nicaragua,Presidente de la República,Vicente Cuadra y Ruy Lugo,Conservador,1871-1875
República de Nicaragua,Presidente de la República,Pedro Joaquín Chamorro y Alfaro,Conservador,1875-1879
República de Nicaragua,Presidente de la República,Joaquín Zavala Solís,Conservador,1879-1883
República de Nicaragua,Presidente de la República,Adán Cárdenas del Castillo,Conservador,1883-1887
República de Nicaragua,Presidente de la República,Evaristo Carazo Aranda,Conservador,1887-1889
República de Nicaragua,Presidente de la República,David Nicolás Osorno,Conservador,1889-1889
República de Nicaragua,Presidente de la República,Roberto Sacasa y Sarria,Conservador,1889-1891
República de Nicaragua,Presidente de la República,Ignacio Chávez López,Conservador,1891-1891
República de Nicaragua,Presidente de la República,Roberto Sacasa y Sarria,Conservador,1891-1893
República de Nicaragua,Presidente de la República,Eduardo Montiel Cerda,Conservador,1893-1893
República de Nicaragua,Presidente de la República,"Junta de Gobierno: Salvador Machado Agüero, presidente",Conservador,1893-1893
República de Nicaragua,Presidente de la República,"Junta de Gobierno: Joaquín Zavala Solís, presidente",Conservador,1893-1893
República de Nicaragua,Presidente de la República,"Junta de Gobierno: José Santos Zelaya López, presidente",Revolución Liberal,1893-1893
República de Nicaragua,Presidente de la República,José Santos Zelaya López,Liberal,1893-1909
República de Nicaragua,Presidente de la República,José Madriz Rodríguez,Liberal,1909-1910
República de Nicaragua,Presidente de la República,José Dolores Estrada Morales,Liberal,1910-1910
República de Nicaragua,Presidente de la República,Luis Mena Vado,Conservador,1910-1910
República de Nicaragua,Presidente de la República,Juan José Estrada Morales,Liberal,1910-1911
República de Nicaragua,Presidente de la República,Adolfo Díaz Recinos,Conservador,1911-1917
República de Nicaragua,Presidente de la República,Emiliano Chamorro Vargas,Conservador,1917-1921
República de Nicaragua,Presidente de la República,Diego Manuel Chamorro Bolaños,Conservador,1921-1923
República de Nicaragua,Presidente de la República,Rosendo Chamorro Oreamuno,Conservador,1923-1923
República de Nicaragua,Presidente de la República,Bartolomé Martínez González,Conservador Republicano,1923-1925
República de Nicaragua,Presidente de la República,Carlos José Solórzano Gutiérrez,Conservador Republicano,1925-1926
República de Nicaragua,Presidente de la República,Emiliano Chamorro Vargas,Conservador,1926-1926
República de Nicaragua,Presidente de la República,Sebastián Uriza,Conservador,1926-1926
República de Nicaragua,Presidente de la República,Adolfo Díaz Recinos,Conservador,1926-1929
República de Nicaragua,Presidente de la República,Juan Bautista Sacasa,Liberal,1926-1929
República de Nicaragua,Presidente de la República,José María Moncada,Liberal,1929-1933
República de Nicaragua,Presidente de la República,Juan Bautista Sacasa,Liberal,1933-1936
República de Nicaragua,Presidente de la República,Guillermo Sevilla Sacasa,Partido Liberal Nacionalista,1936-1936
República de Nicaragua,Presidente de la República,Carlos Alberto Brenes Jarquín,Partido Liberal Nacionalista,1936-1937
República de Nicaragua,Presidente de la República,Anastasio Somoza García,Partido Liberal Nacionalista,1937-1947
República de Nicaragua,Presidente de la República,Leonardo Argüello Barreto,Partido Liberal Nacionalista,1947-1947
República de Nicaragua,Presidente de la República,Benjamín Lacayo Sacasa,Partido Liberal Nacionalista,1947-1947
República de Nicaragua,Presidente de la República,Víctor Manuel Román y Reyes,Partido Liberal Nacionalista,1947-1950
República de Nicaragua,Presidente de la República,Manuel Fernando Zurita,Partido Liberal Nacionalista,1950-1950
República de Nicaragua,Presidente de la República,Anastasio Somoza García,Partido Liberal Nacionalista,1950-1956
República de Nicaragua,Presidente de la República,Luis Somoza Debayle,Partido Liberal Nacionalista,1956-1963
República de Nicaragua,Presidente de la República,René Schick Gutiérrez,Partido Liberal Nacionalista,1963-1966
República de Nicaragua,Presidente de la República,Lorenzo Guerrero Gutiérrez,Partido Liberal Nacionalista,1966-1967
República de Nicaragua,Presidente de la República,Anastasio Somoza Debayle,Partido Liberal Nacionalista,1967-1972
República de Nicaragua,Presidente de la República,Junta Nacional de Gobierno,Conservador-Liberal Nacionalista,1972-1974
República de Nicaragua,Presidente de la República,Anastasio Somoza Debayle,Partido Liberal Nacionalista,1974-1979
República de Nicaragua,Presidente de la República,Francisco Urcuyo Maliaños,Partido Liberal Nacionalista,1979-1979
República de Nicaragua,Presidente de la República,Junta de Gobierno de Reconstrucción Nacional,Frente Sandinista de Liberación Nacional,1979-1985
República de Nicaragua,Presidente de la República,Daniel Ortega Saavedra,Frente Sandinista de Liberación Nacional,1985-1990
República de Nicaragua,Presidente de la República,Violeta Barrios de Chamorro,Unión Nacional Opositora,1990-1997
República de Nicaragua,Presidente de la República,Arnoldo Alemán Lacayo,Partido Liberal Constitucionalista,1997-2002
República de Nicaragua,Presidente de la República,Enrique Bolaños Geyer,Partido Liberal Constitucionalista,2002-2007
República de Nicaragua,Presidente de la República,Daniel Ortega Saavedra.,Frente Sandinista de Liberación Nacional,2007-2012
República de Nicaragua,Presidente de la República,Daniel Ortega Saavedra.,Frente Sandinista de Liberación Nacional,2012-2017
República de Nicaragua,Presidente de la República,Daniel Ortega Saavedra.,Frente Sandinista de Liberación Nacional,2017-2022
